type,client,tx,amount
deposit,135,135,1
deposit,136,136,1
deposit,137,137,1
deposit,138,138,1
deposit,139,139,1
deposit,140,140,1
deposit,141,141,1
deposit,142,142,1
deposit,143,143,1
deposit,144,144,1
deposit,145,145,1
deposit,146,146,1
deposit,147,147,1
deposit,148,148,1
deposit,149,149,1
deposit,150,150,1
deposit,151,151,1
deposit,152,152,1
deposit,153,153,1
deposit,154,154,1
deposit,155,155,1
deposit,156,156,1
deposit,157,157,1
deposit,158,158,1
deposit,159,159,1
deposit,160,160,1
deposit,161,161,1
deposit,162,162,1
deposit,163,163,1
deposit,164,164,1
deposit,165,165,1
deposit,166,166,1
deposit,167,167,1
deposit,168,168,1
deposit,169,169,1
deposit,170,170,1
deposit,171,171,1
deposit,172,172,1
deposit,173,173,1
deposit,174,174,1
deposit,175,175,1
deposit,176,176,1
deposit,177,177,1
deposit,178,178,1
deposit,179,179,1
deposit,180,180,1
deposit,181,181,1
deposit,182,182,1
deposit,183,183,1
deposit,184,184,1
deposit,185,185,1
deposit,186,186,1
deposit,187,187,1
deposit,188,188,1
deposit,189,189,1
deposit,190,190,1
deposit,191,191,1
deposit,192,192,1
deposit,193,193,1
deposit,194,194,1
deposit,195,195,1
deposit,196,196,1
deposit,197,197,1
deposit,198,198,1
deposit,199,199,1
deposit,200,200,1
deposit,201,201,1
deposit,202,202,1
deposit,203,203,1
deposit,204,204,1
deposit,205,205,1
deposit,206,206,1
deposit,207,207,1
deposit,208,208,1
deposit,209,209,1
deposit,210,210,1
deposit,211,211,1
deposit,212,212,1
deposit,213,213,1
deposit,214,214,1
deposit,215,215,1
deposit,216,216,1
deposit,217,217,1
deposit,218,218,1
deposit,219,219,1
deposit,220,220,1
deposit,221,221,1
deposit,222,222,1
deposit,223,223,1
deposit,224,224,1
deposit,225,225,1
deposit,226,226,1
deposit,227,227,1
deposit,228,228,1
deposit,229,229,1
deposit,230,230,1
deposit,231,231,1
deposit,232,232,1
deposit,233,233,1
deposit,234,234,1
deposit,235,235,1
deposit,236,236,1
deposit,237,237,1
deposit,238,238,1
deposit,239,239,1
deposit,240,240,1
deposit,241,241,1
deposit,242,242,1
deposit,243,243,1
deposit,244,244,1
deposit,245,245,1
deposit,246,246,1
deposit,247,247,1
deposit,248,248,1
deposit,249,249,1
deposit,250,250,1
deposit,251,251,1
deposit,252,252,1
deposit,253,253,1
deposit,254,254,1
deposit,255,255,1
deposit,256,256,1
deposit,257,257,1
deposit,258,258,1
deposit,259,259,1
deposit,260,260,1
deposit,261,261,1
deposit,262,262,1
deposit,263,263,1
deposit,264,264,1
deposit,265,265,1
deposit,266,266,1
deposit,267,267,1
deposit,268,268,1
deposit,269,269,1
deposit,270,270,1
deposit,271,271,1
deposit,272,272,1
deposit,273,273,1
deposit,274,274,1
deposit,275,275,1
deposit,276,276,1
deposit,277,277,1
deposit,278,278,1
deposit,279,279,1
deposit,280,280,1
deposit,281,281,1
deposit,282,282,1
deposit,283,283,1
deposit,284,284,1
deposit,285,285,1
deposit,286,286,1
deposit,287,287,1
deposit,288,288,1
deposit,289,289,1
deposit,290,290,1
deposit,291,291,1
deposit,292,292,1
deposit,293,293,1
deposit,294,294,1
deposit,295,295,1
deposit,296,296,1
deposit,297,297,1
deposit,298,298,1
deposit,299,299,1
deposit,300,300,1
deposit,301,301,1
deposit,302,302,1
deposit,303,303,1
deposit,304,304,1
deposit,305,305,1
deposit,306,306,1
deposit,307,307,1
deposit,308,308,1
deposit,309,309,1
deposit,310,310,1
deposit,311,311,1
deposit,312,312,1
deposit,313,313,1
deposit,314,314,1
deposit,315,315,1
deposit,316,316,1
deposit,317,317,1
deposit,318,318,1
deposit,319,319,1
deposit,320,320,1
deposit,321,321,1
deposit,322,322,1
deposit,323,323,1
deposit,324,324,1
deposit,325,325,1
deposit,326,326,1
deposit,327,327,1
deposit,328,328,1
deposit,329,329,1
deposit,330,330,1
deposit,331,331,1
deposit,332,332,1
deposit,333,333,1
deposit,334,334,1
deposit,335,335,1
deposit,336,336,1
deposit,337,337,1
deposit,338,338,1
deposit,339,339,1
deposit,340,340,1
deposit,341,341,1
deposit,342,342,1
deposit,343,343,1
deposit,344,344,1
deposit,345,345,1
deposit,346,346,1
deposit,347,347,1
deposit,348,348,1
deposit,349,349,1
deposit,350,350,1
deposit,351,351,1
deposit,352,352,1
deposit,353,353,1
deposit,354,354,1
deposit,355,355,1
deposit,356,356,1
deposit,357,357,1
deposit,358,358,1
deposit,359,359,1
deposit,360,360,1
deposit,361,361,1
deposit,362,362,1
deposit,363,363,1
deposit,364,364,1
deposit,365,365,1
deposit,366,366,1
deposit,367,367,1
deposit,368,368,1
deposit,369,369,1
deposit,370,370,1
deposit,371,371,1
deposit,372,372,1
deposit,373,373,1
deposit,374,374,1
deposit,375,375,1
deposit,376,376,1
deposit,377,377,1
deposit,378,378,1
deposit,379,379,1
deposit,380,380,1
deposit,381,381,1
deposit,382,382,1
deposit,383,383,1
deposit,384,384,1
deposit,385,385,1
deposit,386,386,1
deposit,387,387,1
deposit,388,388,1
deposit,389,389,1
deposit,390,390,1
deposit,391,391,1
deposit,392,392,1
deposit,393,393,1
deposit,394,394,1
deposit,395,395,1
deposit,396,396,1
deposit,397,397,1
deposit,398,398,1
deposit,399,399,1
deposit,400,400,1
deposit,401,401,1
deposit,402,402,1
deposit,403,403,1
deposit,404,404,1
deposit,405,405,1
deposit,406,406,1
deposit,407,407,1
deposit,408,408,1
deposit,409,409,1
deposit,410,410,1
deposit,411,411,1
deposit,412,412,1
deposit,413,413,1
deposit,414,414,1
deposit,415,415,1
deposit,416,416,1
deposit,417,417,1
deposit,418,418,1
deposit,419,419,1
deposit,420,420,1
deposit,421,421,1
deposit,422,422,1
deposit,423,423,1
deposit,424,424,1
deposit,425,425,1
deposit,426,426,1
deposit,427,427,1
deposit,428,428,1
deposit,429,429,1
deposit,430,430,1
deposit,431,431,1
deposit,432,432,1
deposit,433,433,1
deposit,434,434,1
deposit,435,435,1
deposit,436,436,1
deposit,437,437,1
deposit,438,438,1
deposit,439,439,1
deposit,440,440,1
deposit,441,441,1
deposit,442,442,1
deposit,443,443,1
deposit,444,444,1
deposit,445,445,1
deposit,446,446,1
deposit,447,447,1
deposit,448,448,1
deposit,449,449,1
deposit,450,450,1
deposit,451,451,1
deposit,452,452,1
deposit,453,453,1
deposit,454,454,1
deposit,455,455,1
deposit,456,456,1
deposit,457,457,1
deposit,458,458,1
deposit,459,459,1
deposit,460,460,1
deposit,461,461,1
deposit,462,462,1
deposit,463,463,1
deposit,464,464,1
deposit,465,465,1
deposit,466,466,1
deposit,467,467,1
deposit,468,468,1
deposit,469,469,1
deposit,470,470,1
deposit,471,471,1
deposit,472,472,1
deposit,473,473,1
deposit,474,474,1
deposit,475,475,1
deposit,476,476,1
deposit,477,477,1
deposit,478,478,1
deposit,479,479,1
deposit,480,480,1
deposit,481,481,1
deposit,482,482,1
deposit,483,483,1
deposit,484,484,1
deposit,485,485,1
deposit,486,486,1
deposit,487,487,1
deposit,488,488,1
deposit,489,489,1
deposit,490,490,1
deposit,491,491,1
deposit,492,492,1
deposit,493,493,1
deposit,494,494,1
deposit,495,495,1
deposit,496,496,1
deposit,497,497,1
deposit,498,498,1
deposit,499,499,1
deposit,500,500,1
deposit,501,501,1
deposit,502,502,1
deposit,503,503,1
deposit,504,504,1
deposit,505,505,1
deposit,506,506,1
deposit,507,507,1
deposit,508,508,1
deposit,509,509,1
deposit,510,510,1
deposit,511,511,1
deposit,512,512,1
deposit,513,513,1
deposit,514,514,1
deposit,515,515,1
deposit,516,516,1
deposit,517,517,1
deposit,518,518,1
deposit,519,519,1
deposit,520,520,1
deposit,521,521,1
deposit,522,522,1
deposit,523,523,1
deposit,524,524,1
deposit,525,525,1
deposit,526,526,1
deposit,527,527,1
deposit,528,528,1
deposit,529,529,1
deposit,530,530,1
deposit,531,531,1
deposit,532,532,1
deposit,533,533,1
deposit,534,534,1
deposit,535,535,1
deposit,536,536,1
deposit,537,537,1
deposit,538,538,1
deposit,539,539,1
deposit,540,540,1
deposit,541,541,1
deposit,542,542,1
deposit,543,543,1
deposit,544,544,1
deposit,545,545,1
deposit,546,546,1
deposit,547,547,1
deposit,548,548,1
deposit,549,549,1
deposit,550,550,1
deposit,551,551,1
deposit,552,552,1
deposit,553,553,1
deposit,554,554,1
deposit,555,555,1
deposit,556,556,1
deposit,557,557,1
deposit,558,558,1
deposit,559,559,1
deposit,560,560,1
deposit,561,561,1
deposit,562,562,1
deposit,563,563,1
deposit,564,564,1
deposit,565,565,1
deposit,566,566,1
deposit,567,567,1
deposit,568,568,1
deposit,569,569,1
deposit,570,570,1
deposit,571,571,1
deposit,572,572,1
deposit,573,573,1
deposit,574,574,1
deposit,575,575,1
deposit,576,576,1
deposit,577,577,1
deposit,578,578,1
deposit,579,579,1
deposit,580,580,1
deposit,581,581,1
deposit,582,582,1
deposit,583,583,1
deposit,584,584,1
deposit,585,585,1
deposit,586,586,1
deposit,587,587,1
deposit,588,588,1
deposit,589,589,1
deposit,590,590,1
deposit,591,591,1
deposit,592,592,1
deposit,593,593,1
deposit,594,594,1
deposit,595,595,1
deposit,596,596,1
deposit,597,597,1
deposit,598,598,1
deposit,599,599,1
deposit,600,600,1
deposit,601,601,1
deposit,602,602,1
deposit,603,603,1
deposit,604,604,1
deposit,605,605,1
deposit,606,606,1
deposit,607,607,1
deposit,608,608,1
deposit,609,609,1
deposit,610,610,1
deposit,611,611,1
deposit,612,612,1
deposit,613,613,1
deposit,614,614,1
deposit,615,615,1
deposit,616,616,1
deposit,617,617,1
deposit,618,618,1
deposit,619,619,1
deposit,620,620,1
deposit,621,621,1
deposit,622,622,1
deposit,623,623,1
deposit,624,624,1
deposit,625,625,1
deposit,626,626,1
deposit,627,627,1
deposit,628,628,1
deposit,629,629,1
deposit,630,630,1
deposit,631,631,1
deposit,632,632,1
deposit,633,633,1
deposit,634,634,1
deposit,635,635,1
deposit,636,636,1
deposit,637,637,1
deposit,638,638,1
deposit,639,639,1
deposit,640,640,1
deposit,641,641,1
deposit,642,642,1
deposit,643,643,1
deposit,644,644,1
deposit,645,645,1
deposit,646,646,1
deposit,647,647,1
deposit,648,648,1
deposit,649,649,1
deposit,650,650,1
deposit,651,651,1
deposit,652,652,1
deposit,653,653,1
deposit,654,654,1
deposit,655,655,1
deposit,656,656,1
deposit,657,657,1
deposit,658,658,1
deposit,659,659,1
deposit,660,660,1
deposit,661,661,1
deposit,662,662,1
deposit,663,663,1
deposit,664,664,1
deposit,665,665,1
deposit,666,666,1
deposit,667,667,1
deposit,668,668,1
deposit,669,669,1
deposit,670,670,1
deposit,671,671,1
deposit,672,672,1
deposit,673,673,1
deposit,674,674,1
deposit,675,675,1
deposit,676,676,1
deposit,677,677,1
deposit,678,678,1
deposit,679,679,1
deposit,680,680,1
deposit,681,681,1
deposit,682,682,1
deposit,683,683,1
deposit,684,684,1
deposit,685,685,1
deposit,686,686,1
deposit,687,687,1
deposit,688,688,1
deposit,689,689,1
deposit,690,690,1
deposit,691,691,1
deposit,692,692,1
deposit,693,693,1
deposit,694,694,1
deposit,695,695,1
deposit,696,696,1
deposit,697,697,1
deposit,698,698,1
deposit,699,699,1
deposit,700,700,1
deposit,701,701,1
deposit,702,702,1
deposit,703,703,1
deposit,704,704,1
deposit,705,705,1
deposit,706,706,1
deposit,707,707,1
deposit,708,708,1
deposit,709,709,1
deposit,710,710,1
deposit,711,711,1
deposit,712,712,1
deposit,713,713,1
deposit,714,714,1
deposit,715,715,1
deposit,716,716,1
deposit,717,717,1
deposit,718,718,1
deposit,719,719,1
deposit,720,720,1
deposit,721,721,1
deposit,722,722,1
deposit,723,723,1
deposit,724,724,1
deposit,725,725,1
deposit,726,726,1
deposit,727,727,1
deposit,728,728,1
deposit,729,729,1
deposit,730,730,1
deposit,731,731,1
deposit,732,732,1
deposit,733,733,1
deposit,734,734,1
deposit,735,735,1
deposit,736,736,1
deposit,737,737,1
deposit,738,738,1
deposit,739,739,1
deposit,740,740,1
deposit,741,741,1
deposit,742,742,1
deposit,743,743,1
deposit,744,744,1
deposit,745,745,1
deposit,746,746,1
deposit,747,747,1
deposit,748,748,1
deposit,749,749,1
deposit,750,750,1
deposit,751,751,1
deposit,752,752,1
deposit,753,753,1
deposit,754,754,1
deposit,755,755,1
deposit,756,756,1
deposit,757,757,1
deposit,758,758,1
deposit,759,759,1
deposit,760,760,1
deposit,761,761,1
deposit,762,762,1
deposit,763,763,1
deposit,764,764,1
deposit,765,765,1
deposit,766,766,1
deposit,767,767,1
deposit,768,768,1
deposit,769,769,1
deposit,770,770,1
deposit,771,771,1
deposit,772,772,1
deposit,773,773,1
deposit,774,774,1
deposit,775,775,1
deposit,776,776,1
deposit,777,777,1
deposit,778,778,1
deposit,779,779,1
deposit,780,780,1
deposit,781,781,1
deposit,782,782,1
deposit,783,783,1
deposit,784,784,1
deposit,785,785,1
deposit,786,786,1
deposit,787,787,1
deposit,788,788,1
deposit,789,789,1
deposit,790,790,1
deposit,791,791,1
deposit,792,792,1
deposit,793,793,1
deposit,794,794,1
deposit,795,795,1
deposit,796,796,1
deposit,797,797,1
deposit,798,798,1
deposit,799,799,1
deposit,800,800,1
deposit,801,801,1
deposit,802,802,1
deposit,803,803,1
deposit,804,804,1
deposit,805,805,1
deposit,806,806,1
deposit,807,807,1
deposit,808,808,1
deposit,809,809,1
deposit,810,810,1
deposit,811,811,1
deposit,812,812,1
deposit,813,813,1
deposit,814,814,1
deposit,815,815,1
deposit,816,816,1
deposit,817,817,1
deposit,818,818,1
deposit,819,819,1
deposit,820,820,1
deposit,821,821,1
deposit,822,822,1
deposit,823,823,1
deposit,824,824,1
deposit,825,825,1
deposit,826,826,1
deposit,827,827,1
deposit,828,828,1
deposit,829,829,1
deposit,830,830,1
deposit,831,831,1
deposit,832,832,1
deposit,833,833,1
deposit,834,834,1
deposit,835,835,1
deposit,836,836,1
deposit,837,837,1
deposit,838,838,1
deposit,839,839,1
deposit,840,840,1
deposit,841,841,1
deposit,842,842,1
deposit,843,843,1
deposit,844,844,1
deposit,845,845,1
deposit,846,846,1
deposit,847,847,1
deposit,848,848,1
deposit,849,849,1
deposit,850,850,1
deposit,851,851,1
deposit,852,852,1
deposit,853,853,1
deposit,854,854,1
deposit,855,855,1
deposit,856,856,1
deposit,857,857,1
deposit,858,858,1
deposit,859,859,1
deposit,860,860,1
deposit,861,861,1
deposit,862,862,1
deposit,863,863,1
deposit,864,864,1
deposit,865,865,1
deposit,866,866,1
deposit,867,867,1
deposit,868,868,1
deposit,869,869,1
deposit,870,870,1
deposit,871,871,1
deposit,872,872,1
deposit,873,873,1
deposit,874,874,1
deposit,875,875,1
deposit,876,876,1
deposit,877,877,1
deposit,878,878,1
deposit,879,879,1
deposit,880,880,1
deposit,881,881,1
deposit,882,882,1
deposit,883,883,1
deposit,884,884,1
deposit,885,885,1
deposit,886,886,1
deposit,887,887,1
deposit,888,888,1
deposit,889,889,1
deposit,890,890,1
deposit,891,891,1
deposit,892,892,1
deposit,893,893,1
deposit,894,894,1
deposit,895,895,1
deposit,896,896,1
deposit,897,897,1
deposit,898,898,1
deposit,899,899,1
deposit,900,900,1
deposit,901,901,1
deposit,902,902,1
deposit,903,903,1
deposit,904,904,1
deposit,905,905,1
deposit,906,906,1
deposit,907,907,1
deposit,908,908,1
deposit,909,909,1
deposit,910,910,1
deposit,911,911,1
deposit,912,912,1
deposit,913,913,1
deposit,914,914,1
deposit,915,915,1
deposit,916,916,1
deposit,917,917,1
deposit,918,918,1
deposit,919,919,1
deposit,920,920,1
deposit,921,921,1
deposit,922,922,1
deposit,923,923,1
deposit,924,924,1
deposit,925,925,1
deposit,926,926,1
deposit,927,927,1
deposit,928,928,1
deposit,929,929,1
deposit,930,930,1
deposit,931,931,1
deposit,932,932,1
deposit,933,933,1
deposit,934,934,1
deposit,935,935,1
deposit,936,936,1
deposit,937,937,1
deposit,938,938,1
deposit,939,939,1
deposit,940,940,1
deposit,941,941,1
deposit,942,942,1
deposit,943,943,1
deposit,944,944,1
deposit,945,945,1
deposit,946,946,1
deposit,947,947,1
deposit,948,948,1
deposit,949,949,1
deposit,950,950,1
deposit,951,951,1
deposit,952,952,1
deposit,953,953,1
deposit,954,954,1
deposit,955,955,1
deposit,956,956,1
deposit,957,957,1
deposit,958,958,1
deposit,959,959,1
deposit,960,960,1
deposit,961,961,1
deposit,962,962,1
deposit,963,963,1
deposit,964,964,1
deposit,965,965,1
deposit,966,966,1
deposit,967,967,1
deposit,968,968,1
deposit,969,969,1
deposit,970,970,1
deposit,971,971,1
deposit,972,972,1
deposit,973,973,1
deposit,974,974,1
deposit,975,975,1
deposit,976,976,1
deposit,977,977,1
deposit,978,978,1
deposit,979,979,1
deposit,980,980,1
deposit,981,981,1
deposit,982,982,1
deposit,983,983,1
deposit,984,984,1
deposit,985,985,1
deposit,986,986,1
deposit,987,987,1
deposit,988,988,1
deposit,989,989,1
deposit,990,990,1
deposit,991,991,1
deposit,992,992,1
deposit,993,993,1
deposit,994,994,1
deposit,995,995,1
deposit,996,996,1
deposit,997,997,1
deposit,998,998,1
deposit,999,999,1
deposit,1000,1000,1
deposit,1001,1001,1
deposit,1002,1002,1
deposit,1003,1003,1
deposit,1004,1004,1
deposit,1005,1005,1
deposit,1006,1006,1
deposit,1007,1007,1
deposit,1008,1008,1
deposit,1009,1009,1
deposit,1010,1010,1
deposit,1011,1011,1
deposit,1012,1012,1
deposit,1013,1013,1
deposit,1014,1014,1
deposit,1015,1015,1
deposit,1016,1016,1
deposit,1017,1017,1
deposit,1018,1018,1
deposit,1019,1019,1
deposit,1020,1020,1
deposit,1021,1021,1
deposit,1022,1022,1
deposit,1023,1023,1
deposit,1024,1024,1
deposit,1025,1025,1
deposit,1026,1026,1
deposit,1027,1027,1
deposit,1028,1028,1
deposit,1029,1029,1
deposit,1030,1030,1
deposit,1031,1031,1
deposit,1032,1032,1
deposit,1033,1033,1
deposit,1034,1034,1
deposit,1035,1035,1
deposit,1036,1036,1
deposit,1037,1037,1
deposit,1038,1038,1
deposit,1039,1039,1
deposit,1040,1040,1
deposit,1041,1041,1
deposit,1042,1042,1
deposit,1043,1043,1
deposit,1044,1044,1
deposit,1045,1045,1
deposit,1046,1046,1
deposit,1047,1047,1
deposit,1048,1048,1
deposit,1049,1049,1
deposit,1050,1050,1
deposit,1051,1051,1
deposit,1052,1052,1
deposit,1053,1053,1
deposit,1054,1054,1
deposit,1055,1055,1
deposit,1056,1056,1
deposit,1057,1057,1
deposit,1058,1058,1
deposit,1059,1059,1
deposit,1060,1060,1
deposit,1061,1061,1
deposit,1062,1062,1
deposit,1063,1063,1
deposit,1064,1064,1
deposit,1065,1065,1
deposit,1066,1066,1
deposit,1067,1067,1
deposit,1068,1068,1
deposit,1069,1069,1
deposit,1070,1070,1
deposit,1071,1071,1
deposit,1072,1072,1
deposit,1073,1073,1
deposit,1074,1074,1
deposit,1075,1075,1
deposit,1076,1076,1
deposit,1077,1077,1
deposit,1078,1078,1
deposit,1079,1079,1
deposit,1080,1080,1
deposit,1081,1081,1
deposit,1082,1082,1
deposit,1083,1083,1
deposit,1084,1084,1
deposit,1085,1085,1
deposit,1086,1086,1
deposit,1087,1087,1
deposit,1088,1088,1
deposit,1089,1089,1
deposit,1090,1090,1
deposit,1091,1091,1
deposit,1092,1092,1
deposit,1093,1093,1
deposit,1094,1094,1
deposit,1095,1095,1
deposit,1096,1096,1
deposit,1097,1097,1
deposit,1098,1098,1
deposit,1099,1099,1
deposit,1100,1100,1
deposit,1101,1101,1
deposit,1102,1102,1
deposit,1103,1103,1
deposit,1104,1104,1
deposit,1105,1105,1
deposit,1106,1106,1
deposit,1107,1107,1
deposit,1108,1108,1
deposit,1109,1109,1
deposit,1110,1110,1
deposit,1111,1111,1
deposit,1112,1112,1
deposit,1113,1113,1
deposit,1114,1114,1
deposit,1115,1115,1
deposit,1116,1116,1
deposit,1117,1117,1
deposit,1118,1118,1
deposit,1119,1119,1
deposit,1120,1120,1
deposit,1121,1121,1
deposit,1122,1122,1
deposit,1123,1123,1
deposit,1124,1124,1
deposit,1125,1125,1
deposit,1126,1126,1
deposit,1127,1127,1
deposit,1128,1128,1
deposit,1129,1129,1
deposit,1130,1130,1
deposit,1131,1131,1
deposit,1132,1132,1
deposit,1133,1133,1
deposit,1134,1134,1
deposit,1135,1135,1
deposit,1136,1136,1
deposit,1137,1137,1
deposit,1138,1138,1
deposit,1139,1139,1
deposit,1140,1140,1
deposit,1141,1141,1
deposit,1142,1142,1
deposit,1143,1143,1
deposit,1144,1144,1
deposit,1145,1145,1
deposit,1146,1146,1
deposit,1147,1147,1
deposit,1148,1148,1
deposit,1149,1149,1
deposit,1150,1150,1
deposit,1151,1151,1
deposit,1152,1152,1
deposit,1153,1153,1
deposit,1154,1154,1
deposit,1155,1155,1
deposit,1156,1156,1
deposit,1157,1157,1
deposit,1158,1158,1
deposit,1159,1159,1
deposit,1160,1160,1
deposit,1161,1161,1
deposit,1162,1162,1
deposit,1163,1163,1
deposit,1164,1164,1
deposit,1165,1165,1
deposit,1166,1166,1
deposit,1167,1167,1
deposit,1168,1168,1
deposit,1169,1169,1
deposit,1170,1170,1
deposit,1171,1171,1
deposit,1172,1172,1
deposit,1173,1173,1
deposit,1174,1174,1
deposit,1175,1175,1
deposit,1176,1176,1
deposit,1177,1177,1
deposit,1178,1178,1
deposit,1179,1179,1
deposit,1180,1180,1
deposit,1181,1181,1
deposit,1182,1182,1
deposit,1183,1183,1
deposit,1184,1184,1
deposit,1185,1185,1
deposit,1186,1186,1
deposit,1187,1187,1
deposit,1188,1188,1
deposit,1189,1189,1
deposit,1190,1190,1
deposit,1191,1191,1
deposit,1192,1192,1
deposit,1193,1193,1
deposit,1194,1194,1
deposit,1195,1195,1
deposit,1196,1196,1
deposit,1197,1197,1
deposit,1198,1198,1
deposit,1199,1199,1
deposit,1200,1200,1
deposit,1201,1201,1
deposit,1202,1202,1
deposit,1203,1203,1
deposit,1204,1204,1
deposit,1205,1205,1
deposit,1206,1206,1
deposit,1207,1207,1
deposit,1208,1208,1
deposit,1209,1209,1
deposit,1210,1210,1
deposit,1211,1211,1
deposit,1212,1212,1
deposit,1213,1213,1
deposit,1214,1214,1
deposit,1215,1215,1
deposit,1216,1216,1
deposit,1217,1217,1
deposit,1218,1218,1
deposit,1219,1219,1
deposit,1220,1220,1
deposit,1221,1221,1
deposit,1222,1222,1
deposit,1223,1223,1
deposit,1224,1224,1
deposit,1225,1225,1
deposit,1226,1226,1
deposit,1227,1227,1
deposit,1228,1228,1
deposit,1229,1229,1
deposit,1230,1230,1
deposit,1231,1231,1
deposit,1232,1232,1
deposit,1233,1233,1
deposit,1234,1234,1
deposit,1235,1235,1
deposit,1236,1236,1
deposit,1237,1237,1
deposit,1238,1238,1
deposit,1239,1239,1
deposit,1240,1240,1
deposit,1241,1241,1
deposit,1242,1242,1
deposit,1243,1243,1
deposit,1244,1244,1
deposit,1245,1245,1
deposit,1246,1246,1
deposit,1247,1247,1
deposit,1248,1248,1
deposit,1249,1249,1
deposit,1250,1250,1
deposit,1251,1251,1
deposit,1252,1252,1
deposit,1253,1253,1
deposit,1254,1254,1
deposit,1255,1255,1
deposit,1256,1256,1
deposit,1257,1257,1
deposit,1258,1258,1
deposit,1259,1259,1
deposit,1260,1260,1
deposit,1261,1261,1
deposit,1262,1262,1
deposit,1263,1263,1
deposit,1264,1264,1
deposit,1265,1265,1
deposit,1266,1266,1
deposit,1267,1267,1
deposit,1268,1268,1
deposit,1269,1269,1
deposit,1270,1270,1
deposit,1271,1271,1
deposit,1272,1272,1
deposit,1273,1273,1
deposit,1274,1274,1
deposit,1275,1275,1
deposit,1276,1276,1
deposit,1277,1277,1
deposit,1278,1278,1
deposit,1279,1279,1
deposit,1280,1280,1
deposit,1281,1281,1
deposit,1282,1282,1
deposit,1283,1283,1
deposit,1284,1284,1
deposit,1285,1285,1
deposit,1286,1286,1
deposit,1287,1287,1
deposit,1288,1288,1
deposit,1289,1289,1
deposit,1290,1290,1
deposit,1291,1291,1
deposit,1292,1292,1
deposit,1293,1293,1
deposit,1294,1294,1
deposit,1295,1295,1
deposit,1296,1296,1
deposit,1297,1297,1
deposit,1298,1298,1
deposit,1299,1299,1
deposit,1300,1300,1
deposit,1301,1301,1
deposit,1302,1302,1
deposit,1303,1303,1
deposit,1304,1304,1
deposit,1305,1305,1
deposit,1306,1306,1
deposit,1307,1307,1
deposit,1308,1308,1
deposit,1309,1309,1
deposit,1310,1310,1
deposit,1311,1311,1
deposit,1312,1312,1
deposit,1313,1313,1
deposit,1314,1314,1
deposit,1315,1315,1
deposit,1316,1316,1
deposit,1317,1317,1
deposit,1318,1318,1
deposit,1319,1319,1
deposit,1320,1320,1
deposit,1321,1321,1
deposit,1322,1322,1
deposit,1323,1323,1
deposit,1324,1324,1
deposit,1325,1325,1
deposit,1326,1326,1
deposit,1327,1327,1
deposit,1328,1328,1
deposit,1329,1329,1
deposit,1330,1330,1
deposit,1331,1331,1
